id,pavilion,Latitude,Longitute,area,admission,exhibit_price_1,exhibit_price_2,hours,exhibit 1,exhibit 2,exhibit 3,official_guide_ref,note 1,note 2,note 3,note 4,note 5,note 6,note 7,note 8,note 9,note 10
49,Greece,40.746028,-73.843676,International,$0.00,,,10am - 10pm,"Gifts from Greece: In the exhibit hall are depicted early Greece's inumerable contributions to civilzation. Maps of the Mediterranean area and the Middle East detail its commerce, explorations and ancient colonies, as well as the spread of its language. The great Greeks who helped formulate Western thought are shown in portrature.",,,"34, 158, 301","Shops: Replicas of museum pieces are for sale, as are honey, rugs, etc.",,,,,,,,,
50,Greyhound,40.74283,-73.848942,Transportation,$0.00,,,10am - 10pm,"Coast-to-Coast on a Bus: Audiences in the Circular Theater stand on a slowly revolving turntable to view the history of the wheel in slide projeections; a short but vivid film picturing America as it might appear through the window of a cross-country bus; and a map which glows in the dark, tracing Greyhound toures through the U.S. and Canada.","Sideshows: In a small theater Lady Greyhound, the company's live canine symbol, models dog clothes, and there are color films of variousregions of the United States.",,"36, 200, 220, 301",A transcontinental bus trip is shown on color film. The Fair's bus transportation fleet is also based here.,,,,,,,,,
51,Guinea,40.745459,-73.841827,International,$0.00,,,10am - 10pm,"African Handicrafts: The exhibits area in the main building displays carvings of wood and ivory, silver and bead jewelry, ceramics and cloth with bold print designs. Similar items are also sold in a shop in the same area.","African Dancers: Members of the Ballet Africaine, which made its American debut in 1959, present gracedul interpretations of Guinean dances. They appear regularly on the restaurant stage.",,"36, 122, 142, 301","Tribal carvings and jewelry are on exhibition, and members of the country's renowned ballet troupe perform.",,,,,,,,,
52,Hall of Education,40.750119,-73.838581,Industrial,$0.00,,,10am - 10pm,"School of Tomorrow: A scale model shows a school in the year 2000, as visualized by leading educators and architects. Accompanying the models are illustrations and explanations of the role education will play in the lives of Americans in future years.","Dialogues in Depth: In a ground-floor auditorium seating 200, prominent figures in many different fields are interviewed regularly on current issues by leading scholars and a guest moderator. The interviews, open to the public, are put on tape for future use in schools and libraries. ","Future Teaching: Actual school and college classes, using the latest audio-visual teaching techniques and equipment, are held in the auditorium each day. The newest electronic teaching machines are displayed in a nearby area.","40, 76, 301",Vocational Teaching: The importance of vocational training in America's future is stressed by an exhibit of machine tools and samples of machine work accomplished by vocational students all over the U.S.,,,,,,,,,
53,Hall of Free Enterprise,40.744107,-73.841753,International,$0.00,,,10am - 10pm,"Economic on Stage: The seats in an oval theater slowly swivel to follow a show called ""Mr. Both Comes to Town,""  staged on sets that encircle the audience. An animated wire figure represents man's dilemna: as producer he wants higher wages for his work; as consumer he wants to buy goods at lower prices. ","Money in Motion: In a three-dimensional, animated wall panel America's corporate economy comes to life. Polarized light makes money appear to flow through transparent tubes, to show how it is channeled into purchases, payrolls, taxes and profits, until the books are balanced.","The Answer Machine: On giant panels, 120 basic economic questions are printed. When the visitor punches a numbered button on the wall panel, a machine prints out the answer.","152, 301","Enterprise Economics, B.A. 204-0: This is the title of a graduate seminar offered by Adelphi University's Business Institute and the accredited by the State University of New York. Adelphi faculty members and distinguished outside economists lecture. Two or three credits toward an M.A. degree can be earned in the seminar, which is given in two-week periods of 30 classroom hours.",Noted Americans discuss today's problems; present and future teaching methods are shown.,,,,,,,,
54,Hall of Science,40.746887,-73.851634,Transportation,$0.00,,,10am - 10pm,"Journey into Space: In the Great Hall, a supply vehicle appears to blast off from Earth, bound for a meeting with a space station in orbit 350 miles away - actually about 50 feet above the floor. This exhibit, presented by the Martin Marietta Corporation, heightens the impression of a trip into space with the use of mtion pictures and authentic sounds and lighting effects. After each 10-minute show, both vehicles are lowered so the audience can examine them.","How the Brain Works: The process of sensory perception is traced through a human ""brain"" made of aluminum disks, 38 miles of wire and 30,000 blinking lights. The exhibit, prepared by The UpJohn Company, demonstrates the complex cerebral procedures involved in a simple decision to applaud the performance ofa singer.","The Way We Hear: The exhibit of the Hearing Aid Industry Conference, Inc., explains the social and physical problems of deafness and the efforts of science to solve them.","206, 208, 301","Chemical Man: Abbott Laboratories shows a 15-minute film about the human body and its cellular structure. The film, projected on the floor of an egg-shaped auditorium, is complemented by models of the molecules of a cell.","A Color Center: The world of color is depicted by the International Corporation in a number of displays, including a red, blue and green top that turns white as it spins, and moving objects that change color as they pass through different kinds of light.","Atoms for Children: In ""Atomsville, U.S.A.,"" the U.S. Atomic Energy Commision presents an explanation of nuclear energy for children from seven to 14. The display contains exhibits such as a remote-controlled manipulator, designed for the handlings of radioactive substances, which the youngsters may operate themselves.",,,,,,,
55,Hawaii,40.739121,-73.83949,Lake Amusement,$0.25,$2.50 adults; $1.50 children under 15 for Aloha Theatre Shows and $1.00 adults; $0.50 children under 15 for Canoe Rides ,,10am - 2am,"Culture of the Islands: The exhibition hall in the hexagonal Aloha Theme Pavilion has numerous displays of the islands' history and culture, including carved reproductions of the old Polynesian gods, thrones of the monarchy and views of the state today. ","Hall of Dreams: In the Tourism and Industrial Exhibits, motion pictures focus on the wonders of Hawaii. Elsewhere, wall maps depict travel toutes to the islands, and a tourist office stands ready to plan the trip.","The Charm of Old Hawaii: In the ancient Hawaiian Village, craftsmen demonstrate native skills.","36, 40, 238, 240, 301","Hawaiian Extravaganza: A one-hour show featuring entertainers from the island is presented six times daily in the Alohatheatre, built on a man-made peninsula jutting into Meadow Lake.",,,,,,,,,
56,Hertz,40.744685,-73.850172,Transportation,$0.00,,,10am - 10pm,,,,20,Offers travel information and reservations.,,,,,,,,,
57,Hollywood U.S.A.,40.748086,-73.848531,Federal and State,$1.00 adults; $0.50 children under 12,,,10am - 10pm,"Museum Pieces: The motion picture museum is a showcase for filmland costumes, jewelry and props. A special section highlights the career of the late Cecil B. Demille.",,,"40, 176, 188, 302","Recent movie sets are articles collected from old films are on display; famous Hollywood stars act, and entertainmnet.",,,,,,,,,
58,Hong Kong,40.748478,-73.843156,International,$0.00,,,10am - 10pm,"Market Street: The first floor of the Hong Kong building suggests a busy, modern street in colony. On both sides sit little shops and stalls where jade and ivory pieces are carved to order, measurements are taken for custom clothing and a wide variety of other merchandise is sold.","The Club on Display: The entrance to the Crown Colony Club, flanked by tiny sampans and the huge junks with their multicolored sails, has the distinctive appearance of a Hong Kong dockside. On display in the club are antique furniture, richly colored rugs and art objects.",,"36, 40, 122, 136, 302",Colorful stalls selling the exotic wares of the Orient simulate a dockside street in the British Crown Colony.,,,,,,,,,
59,House of Good Taste,40.752409,-73.841699,Industrial,$0.25,,,10am - 10pm,"Traditional House: this house of white plastic claobaord, with terrace and swimming pool, is an adaptation of a rambling New England farmhouse. Contemporary House: Sliding-glass walls and a living room skylight make this a house of light and space. Modern House: EdwardDurell Stone's ""inward looking"" house was designed for the suburban lot, with the house enclosing the grounds to ensure privacy.","Hidden Assets: the innards of a house, such as wiring, plumbing and heating systems that normally stay out of sight, are on view in the open-wall structure.",,"64, 302","Fully furnished houses provide guides for home-building and decorating in three styles; traditional, contemporary and modern.",,,,,,,,,
60,Illinois,40.749954,-73.848664,Federal and State,$0.00,,,10am - 10pm,"Disney's Lincoln: With mannerisms characteristics of the great Civil War President, the animated figure recites excerpts from Lincoln's speeches on liberty, civil rights and freedom. Dimensions for the figure duplicate the physical statistics found in biographies; the facial features were taken from Lincoln's life mask. The figure is capable of more than 250,000 combinations of action., including smiles, frowns and gestures. The program, called ""Great Memories with Mr. Lincoln,"" will be suspended when special events are held in the theater.","The Years of Lincoln: A restoration  of the Lincoln-Berry store in New Salem, Lincoln's first Illinois home town, is located in the pavilion area. Among the other displays are a head of Lincoln by the great sculpture Gutzon Borglum, a new statue of Lincoln on horseback and many documetns and papers. A historical reference library is available for visitors to use.","Pleasures of the State: Throughout the pavilion and in the adjacent courtyard and garden areas, displays and information  centers extol the state's vacation facilities, from the Illinois Ozarks to the great city of Chicago.","176, 186, 302","The exhibit is a tribute to Abraham Lincoln, with documents, photos and a life-sized, talking, moving figure.",,,,,,,,,
61,India,40.749211,-73.845583,International,$0.00,,,10am - 10pm,"Art Old and New: The high artistic achievements of many peoples and periods are on display: a Fifth Century Buddha, a carved 18th Century palace door, 20th Century murals, and others.","""Progress in Democracy:"" Dioramas and other displays illustrate the revitalized democracy brought to India's 600,000 villages, principally through a system of village and regional councils.","Industry and Intellect: Visual displays and recordings explain how this once backward nation is now able to manufacture such heavy items as aircraft engines, locomotives and automobiles, as well as producing goods for export and exploiting the peaceful possibilties of atomic energy. Other displays show the growth of universities, technical schools and research laboritories.","36, 122, 127, 302",The country's dramatic advances since winning independence are shown in displays of education and industry.,,,,,,,,,
62,Indonesia,40.747902,-73.84333,International,$0.00,,,10am - 10pm,"Gateways of Faith: The gate leading into the pavilion is a ""split temple"" - an intracely carved sculpture, constructed as if it had been sliced down the middle and moved apart to enable people to walk between the halves. To the right of the gate is a seven-roofed shrine with four dragonlike stone lions at its base.","Dip-Dyed Batik: An Indonesian woman dips cotton cloth into dye after covering parts of it with wax, showing how the colorful patterns of batiks are created. Other craftsmen carve wood and stone, and work in silver. Handicrafts are for sale in the exhibit area.","Puppet Show: More than a hundred stylized puppets used in religious plays are on display. Some are fabricated of elaborately painted leather, others are made of wood. There are demonstrations of puppetry in the pavilion from time to time.","122, 168, 302","Pictures, puppets, a demonstration of batik-dyeing and a graceful shrine help illuminate life on the islands.",,,,,,,,,
63,International Buisness Machines,40.749624,-73.839804,Industrial,$0.00,,,10am - 10pm,"Songs From the Trees: Perched on ramps in the metal trees, musicians entertain the crowds on the elevated walkways.","The People Wall: A steep grandstand entered from the ramp level below the theatre is one of the features of the exhibit. After the audience of some 500 is seated, the ""People Wall"" is drawn swiftly up into the theatre, while a narrator appears, suspended before the audience on a small circular platform.","The Information Machine: Inside the theater, a 12-minute show full of visible and audible surprises (special lighting effects, stereophonic sound, 14 slide and movie projectors throwing images on screens and surfaces of various shapes and sizes) describes the similarity of methods that are used by the human mind and computers solve problems. Headsets provide simultaneous translation of the English narration into five languages: French, German, Italian, Japanese and Spanish.     ","60, 74, 302","Computers are demonstrated with puppets, films and working models.",,,,,,,,,
64,International Plaza,40.744309,-73.84246,International,$0.00,,,10am - 10pm,"Art and Treasure: A Brazilian company's exhibit of precious gems features the ""Flora Brasileira,"" a jewel-studded gold flower worth $100,000. A Mexican artisans' association displays a circular stone calender used by the Aztec temple. India's exhibit includes a demonstration of ivory carving and a collection of jewelled carpets valued in excess of one million dollars. Burma has contributed a display of pearls and rubies. ","Wares for Sale: Among the national products on sale are rugs from Turkey, silverware from Norway and straw hats from Taiwan. The work of artisans and manufactures form Thailand to Italy is on display; West Germany alone is represented by more than 300 manufacturers.","Foods: Belguim waffles, beer from the Philippines and a kind of shishkebab from Yugoslavia are but a few of the food specialties displayed, sold or served by various exhibitors. Ecuador's bananas are presented in exotic desserts and squeezed into juice. Luxenbourg features wines, cheese, pastries and onion soup. The Mediterranean Center offers packaged delicacies from North Africa.","36, 122, 151, 302","Among the exhibits from many lands are Turkish rugs, Italian glassware and Brazilian gems.",,,,,,,,,
65,Ireland,40.748442,-73.84564,International,$0.00,,,10am - 10pm,"Charting the Irish: Two giant maps are in the entry court. On the left is one of Ireland with familiar Irish names marked at the families' places of origin. Recordings detail the family histories and give the Irish pronunciation of the names. On the right is a map of the world showing areas of Irish influence during the Middle Ages, the  routes of Irish military expeditions in the 17th and 18th Centuries, and the flow of emigration from Ireland to all parts of the world from the 18th to the 20th Centuries.","Flight over Ireland: A movie of the country made during a low-altitude airplane flight is projected on a circular screen embedded in the floor of the hall to the left of the entry court. Nearby, Irish scenes are shown on a wide screen.","A Gaelic Heritage: Through the round tower visitors reach the main hall, where mobiles evoking the names and moods of Irish poets hang from the ceiling. Headsets transmit the voices of actors reading the words of such Irish born writers as George Bernard Shaw, James Joyce, Jonathan Swift, Oscar Wilde and WIlliam Butler Yeats. Also in the main hall are displays of Irish arts and crafts (tweed-weaving looms, pottery and Waterford glass), country life (horses, the turf and the beauty of reacing) and industrial development, centuring on a wide range of products manufactured in Irish factories.","127, 128, 302","Dancers and Drinks: There is a small outdoor theater for performances by Irish dancers and singers. Available at a stand are Irish coffee (coffee, Irish whiskey and whipped cream) for adults and soft drinks for children.",,,,,,,,,
66,Japan,40.746845,-73.841666,International,$0.00,,,10am - 10pm,"A Century of Progress: Japan's rapid emergence as an industrial nation is shown in photographs of Tokyo as it is now and as it was 100 years ago, just after U.S. Commodore Matthew Perry opened the nation to trade with the West. Examples of current scientific and industrial progress are shown in many exhibits. Among them: probers of space, new tools of science and symbols of industry.","The New Japan: The second building, reached by a ramp from the first, offers an array of consumer goods - sports cars, motorcycles, frozen foods, sewing machines - plus demonstrations of flower arranging and the ritualistic Japanese tea ceremony. A model rocket gives the visitor who steps inside it the sensation of space travel. At the press of a button, an electric computer provides information on how to get almost anywhere in the world. A stand sells Japanese-made products, including color TV sets.",,"36, 140, 122, 142, 302",The country's technology is stressed by such products as an electron microscope and high-speed movie camera.,,,,,,,,,
67,Jaycopter Ride,40.741373,-73.839157,Lake Amusement,$1.00,$0.25 for Operate Small Models,,10am - 10pm,,,,"228, 302","A 16-passenger car suspended from a long boom hovers, dips and climbs to a height of 100 feet, providing all the giddy sensations of a real helicopter ride.",,,,,,,,,
68,Johnson's Wax,40.747324,-73.840527,Industrial,$0.00,,,10am - 10pm,"""To Be Alive:"" This 12-minute color movie, produced by Francis Thompson, whose documentaries have won many awards, uses three projectors, as many screens, and stereophonic sound to show the daily lives of people around the world. They grow up, fall in love, work, play and grow old, demonstrating that ""men everywhere share at the deepest leve the same drives, dreams, foibles.""","Child Entertainment Center: Grownups can peek from hidden areas while children climb through a ""nonsense machine"" - a mazelike device full of mirrors that fracture images, squeeze-bulbs that emit strange noises and cranks that operate robots.","Home Care Information Center: Electronic computers answer such questions as ""Do new car finishes need cleaning and waxing?"".","100, 302",Shoeshine Center: Ten polishing machines operating simultaneously can buff the shoes of 300 visitors an hour.,,,,,,,,,
69,Jordan,40.746247,-73.842445,International,$0.00,$0.25 for Dead Sea Scroll Exhibit,,10am - 10pm,"Christ and Mohammed: In stained glass, the story of Christ's agony and death is told in the traditional Fourteen Stations of the Cross, rendered in unusual abstract forms created by Spanish painterAntonio Saura. On the other walls are bas-relief representations of the Roman built city of Jarash; the ancient city of Petra, which was carved from rock and populated by robber bands that preyed on caravans; and the Dome of the Rock of Jerusalem, where, according to Moslem tradition, Mohammed prayed before ascending to heaven.","Twenty Hundred Years: One of the Dead Sea Scrolls, written by the ascentic Essene sect about the time of Christ, is shown in an exhibit area together with a replica of the cave in which It was discovered. Also on display are a scale model of the Dome of the Rock, statues of the Three Kings, a Christian creche, and many articles from antiquity, including a column from Jarash to be presented to the City of New York for permanent display in the Flushing Meadow Park.",Dancers and a Movie:  A troupe of Arab dancers and the Band of the Arab Army put on frequent performances in the 245-seat theater. At other times a half-hour color movie of modern Jordan is shown.,"162, 302","Jewelry and Barbecues: Color-slide viewers equipped with headsets offer a description of Jordan's expanding economy and increasing numbers of schools, hospitals, roads and other facilities. A bazaar sells Hebron glass, olive-wood carvings, mother-of-pearl work and Bedouin jewelry. ",,,,,,,,,
70,Julimar Farm,40.74635,-73.837751,Industrial,$0.00,,,10am - 10pm,,,,"62, 302",The exhibit presents a variety of gardens.,,,,,,,,,
71,Lake Cruise,40.739248,-73.841982,Lake Amusement,$1.00 adults; $0.50 children 6 - 12; $0.00 children under 6,,,10am - 2am,,,,"228, 302",A 20-minute voyage in aluminiu-hulled craft carries visitors past the sights on Meadow Lake; multilingual hostesses provide commentary and answer questions.,,,,,,,,,
72,Lebanon,40.746634,-73.843108,International,$0.00,,,10am - 10pm,"Room of thr Alphabet: Displays trace the alphabet from Phoenician through Greek to the Latin on which the English alphabet is based. A separate frieze shows the evolution of Arabic script. The tower at the rear of the room contains ancient Phoenician glassware and a reproduction of the cover of the sarcophagus of King Ahiram, who lived in the 10th Century before Christ. The first fully developed Phoenician writings were discovered on that cover.","Room of Antiquity: Displayed here are archeological finds uncovered at three famous cities of ancient Lebanon: Byblose, where the remains of seven ancient civilizations have been unearthed; Baalbek, named for the sun god, Baal; and Sidon, once the great seaport of Phoenicia ","Room of Enlightenment: A 15-foot copper and plastic ""torch of learning,"" covered with 200 light bulbs, symbolizes Lebanon's position as a center of learning in the Middle East. In the room are exhibits from the National Arab, French, English, Italian and American universities of Lebanon.","164, 302","The New with the Old: Displays in the largest room of the pavilion depict modern Lebanon's progress in public works and industry. In addition a striking Plexiglas map, showing the location of Lebanese settlements in other lands from 1000 B.C. to the present, is superimposed on a 48-foot-long photomontage of statuettes from antiquity. Also on exhibit is a replica of an outstanding example of Arabic architecture: a room from the 18th Century palace of Emir Bechir Shehab.",,,,,,,,,
73,Les Poupees De Paris,40.740438,-73.840166,Lake Amusement,$2.50 adults; $1.25 children under 12,,,10am - 10pm,,,,"228, 232, 302","The popular puppets present a sparkling French revue starring Frank Sinatram Pearl Bailey, Elvis Presley and a number of other caricatured performers.",,,,,,,,,
74,Log Flume Ride,40.741285,-73.840204,Lake Amusement,$1.00,,,10am - 2am,,,,"228, 302",Dugout boats go rushing down a roaring sluice in the exciting conclusion of a fast-paced water ride.,,,,,,,,,
75,Long Island Rail Road Exhibit,40.750464,-73.849095,Federal and State,$0.00,$0.25 for Miniature Train Ride,,10am - 10pm,"Tour of the Tents: In one of the tents, HO-guage model trains run continuously on a 10-by-50-foot relief map of Long Island. The map has models of more than 30 historic, recreational and scenic points of interest, including Jones Beach, Montauk Lighthouse, Kennedy Airport adn Theodore Roosevelt's home, Sagamore Hill. The other tent has showcase displays from the four counties that make up Long Island. ","A Tower and a Windmill: Through the glass walls of a switching tower, visitors can observe the intricate process of routing trains entering and leaving the Long Island Rail Road's nearby World's Fair station. A replica of a weathered windmill serves as the railroad's center for tour and timetable infomration; it also has souvenirs for sale.",Little Train Ride: The miniature train carries adults and children around the landscaped one-acre exhibit area.,"176, 186, 302",Visitors can board a locomotive cab and watch a switching tower control the Fair's rail service.,,,,,,,,,
76,Louisiana,40.741993,-73.844029,Federal and State,$0.00,,,10am - 10pm,Jazz for Listening: Famous jazzmen hold forth on the revolving bandstand at Jazzland. Veteran musicians from the early days of New Orleans jazz perform at Preservation Hall. Drinks are served at both places.,Jazz for Dancing: Jazz is also the theme music in the big Teen-Age Dance Center. Soft drinks are sold.,,"36, 176, 195, 302",Famed jazz musicians entertain in restaurants that line this re-creation of New Orleans' Bourbon Street.,,,,,,,,,
77,Malaysia,40.745062,-73.843042,International,$0.00,,,10am - 10pm,,,,"36, 123, 302",Dioramas and diplays introduce a new nation.,,,,,,,,,
78,Maryland,40.750879,-73.846542,Federal and State,$0.00,,,10am - 10pm,"Inspiration for an Anthem: In the theater, an eight-minute motion picture recounts the Battle of Fort McHenry, fought outside Baltimore during the War of 1812. It was during this battle that Francis Scott Key wrote the words to The Star-spangled Banner.","Walk on the Wharf: On a long, wooden fishermen's wharf are stands selling crab cakes, steamed clams and other Maryland favorites, as well as souvenirs.",Marylands Many Faces: Exhibits within the pavilion depict the states past and present.,"36, 40, 176, 182, 302","The state's links to the sea are evoked with a wharf, ship models and filmed drama of the War of 1812",,,,,,,,,
79,Masonic Center,40.750085,-73.844045,International,$0.00,,,10am - 10pm,"Foremost American Mason: Dominating the hall is an 11-foot statue, in Masonic regalia, of George Washington, first of 14 American Presidents who have belonged to the brotherhood. Events from his life are portrayed in three-dimensional scenes, and the Bible on which he took oath of office as President is on display.","Since the Middle Ages: Documents on view date back to the 14th Century, when the Masons were the cathedral builders of Europe. Among them is a Plan of Union for the colonies written by Mason Benjamin Franklin in 1754.",,"123, 126, 302",A statue of Mason George Washington towers over displays from the brotherhood's 600-year history.,,,,,,,,,
80,Mastro Pizza,40.750886,-73.839622,Industrial,$0.00,,,10am - 10pm,,,,"60, 302",Visitors may try their hand at making pies.,,,,,,,,,
81,Medo Photo Supply,40.745051,-73.840668,Industrial,$0.00,,,10am - 10pm,,,,"62, 302",Complete film service is provided.,,,,,,,,,
82,Mexico,40.747484,-73.844964,International,$0.00,,,10am - 10pm,"Enameled History: Conspicuous in the plaza are colorful enameled pictures tracing Mexico's history and comparing its culture with the rest of the World's. The enamel is baked on large copper sheets, some as high as 12 feet.","Information Center: Also in the plaza is a booth with attendants to answer questions concerning travel and industry. Photographs and slides display the country's attractions, and travel films are shown.","Quiz Game: A map inside the exhibit hall ""answers"" visitors' questions in special areas of interest. When various buttons are pushed, colored lights appear, showing Mexico's highways, school system, railroads and other features. Next to the map, 20-foot-high panels of photographs and charts tell graphically of the nation's society, agriculture and growing industrial might. Nearby, models of Government projects emphasize Mexico's developement.","36, 123, 171, 302","Vivid examples of the country's art include paintings, sculpture and historic scenes enameled on copper sheets.",,,,,,,,,
83,Minnesota,40.742513,-73.843922,Federal and State,$0.00,,,10am - 10pm,"The Exhibits: The diplays are largely devoted to Minnesota's industrial production. Threaded through these exhibts are pictorial displays of the state's cultural attractions: the Minneapolis Symphony, the Tyrone Guthrie Theater, also in Minneapolis, and so on.",,,"36, 40, 176, 195, 302",Industrial products share top billin with pictures of such cultural centers as the Tyrone Guthrie Theater.,,,,,,,,,
84,A Mississippi River Showboat,40.738259,-73.840069,Lake Amusement,$1.00 adults; $0.50 children under 12,,,10am - 10pm,,,,"36, 228, 302","A modern minstrel show holds the spotlight in this 19th Century replica, but there is also nonstop musical entertainment in two restaurants.",,,,,,,,,
85,Missouri,40.743759,-73.845671,Federal and State,$0.00,,,10am - 10pm,"""Spirits of St. Louis:"" An exact replica of the famous plane, made in 1955 for the movie, The Spirit of St. Louis, hangs from the ceiling of the pavilion.","Space Capsules: A replica of the Mercury capsule, Friendship 7, is on display outside the pavilion. On it is a plaque engraved with the autographs of all the astronauts. An actual-sized Gemini moon capsule is inside the pavilion. Both capsules is inside the pavilion. Both capsules were buily by the McDonell Aircraft Corporation, a St. Louis company.","Famous Figures: Among those honored are such great Missourians as author Mark Twain, poet Eugene Field and artists Thomas Hart Benton and George Caleb Bingham.","176, 193, 302",Historic state products shown in replica include Lindbergh's transatlantic plane and two U.S. orbit capsules.,,,,,,,,,
86,Monorail,40.739918,-73.843526,Lake Amusement,$0.80,,,9am - 2am,,,,"228, 302","Two-car trains, slung under a single elevated rail, circle the Lake Amusement Area at a height of 40 feet.",,,,,,,,,
87,Montana,40.75107,-73.847169,Federal and State,$0.00,,,10am - 10pm,"Museum on Wheels: Mounted examples of Montana fish and wildlife are on display, along with paintings and sculpture by two leading Western painters, Charles M. Russell and Frederic Remington, among others. There are exhibits from Montana's state and national parks, and a million dollars in gold nuggets and dust is piled up casually, making a heap only a cubic foot in size. Also on view are 14 cases from the Don Foote collection of momentos of Western personalities.",The Corrals: One of the two corrals contains a stuffed pinto hours in a bucking position - which people may mount to have their pictures taken - and a mechanical buffalo that can be driven about. The other displays various breeds of livestock raised in Montana.,Dancing and Music: The Indians encamped at the exhibit give several shows daily of tribal dancing. In the arcade at the second of the forts are nickelodeons and other antique music-making machinesm all in working condition and ready for playing.,"176, 184, 302","Special railroad cars hold a Western museum, a display of cattle brands and a million dollars in gold dust.",,,,,,,,,
88,Mormon Church,40.750775,-73.841306,Industrial,$0.00,,,10am - 10pm,,,,"62, 302",Pictures and films tell of the Church.,,,,,,,,,
89,Morocco,40.745877,-73.843099,International,$0.00,,,10am - 10pm,"Land of the Bazaar: Expert craftsmen and women in Moroccan dress weave carpets and make brassware and leather goods. Visitors can see them knotting rugs - making more than 20,000 knots per square yard at the rate of a yard a week. Moroccan foods are also on sale.",,,"38, 39, 40, 123, 160, 302",Artisans in Morrocan attire weave carpets and fashion brassware and leathergoods in a traditional bazaar.,,,,,,,,,
90,National Cash Register,40.749565,-73.842207,Industrial,$0.00,,,10am - 10pm,"Man's Mountain of Paper: At the entrance, a reproduction of Rodin's famous sculpture The Thinker is dwarfed by the mountainous pile of records the average man accumulates during his lifetime. Nearby is a 30-by-12-foot plastic relief map of the world with real water flowing in the ocean areas. Pinpointed on the map are the company's 12 factories and 1,100 offices.","Fun and Figures: A room of games has adding machines for adults to play with and a giant abacus for children. Problems worked out on the adding machines are simultaneously done in the binary-coded decimal system of counting, which is the language of most business computers. It represents quantity only in terms of ones and zeroes, which are shown here as flashing lights and dark spaces.",The Business Machines: Scattered about a Japanese garden and pool on the ground floor and in a display area on the second floor are many types of business machines: supermarket  cash registers that dispense both change and trading stamps; a computer-cash register system that tells the storekeeper how he is doing compared with a month or a year ago and a fully automated branchbank system.,"24, 110, 302","Computer Chatter: An NCR 315 computer, although sealed away in a glass room, keeps no secrets. When asked by visitors it will dig out recipe in the Hilton International Cookbook, tell the important events that happened on any date of the year, answer in laymen's language any one of 100 scientific questions and list the sights at any of the 150 most frequently visited spots in the world.","The Size of It: A display of miniaturization offers such diminutive surprises as the King James version of the Bible on a single card, complicated electronic circuits of a computer reduced to the size of a fly and a sharp television image one eighth of an inch square.",New York Rotarians maintain an information center in the pavilion where Rotary Club members can get information on daily meetings and programs.,,,,,,,
91,New England States,40.747411,-73.84625,Federal and State,$0.00,,,10am - 10pm,"The Court of the States: In the chain of six small enclosures at the entrance to the pavilion, each state has exhibits showing its scenery and cultural attractions.","The Continuing Vision: ""Where Our Past Began, Our Future Begins,"" is the motto developed in the diverse exhibits of the Theme Building: a rocky coast, The Liberty Tree, in the science area.","On the Village Green: During the dourse of the Fair, groups from different New England communities hold dances, musical performances and frog-jumping contests, and New England craftsmen demonstrate their art. Fashion shows, displaying New England-made apparel, are held daily during the summer. A posted schedule in the Court of the States tells what is happening on the green each day.","38,39, 189, 302","Down East Charm: Representative New England products are sold in the Country Store, where the potbellied stove, the cracker barrel and the candy jars are just as they were generations ago.",,,,,,,,,
92,New Jersey,40.745176,-73.845165,Federal and State,$0.00,,,10am - 10pm,"High Spot of the Fair: Speedy ""Sky-Streak"" capsule elevators zip up the sides of two of the towers, and on a clear day observers on the tallest can see New Jersey, Connecticut, the Atlantic Ocean and most of Long Island, This tower is solely an observation platform; the middle tower sells refreshments, and the shortest is a lounge for visiting dignitaries.",Fine Arts: Two large collections have been assembled from many sources. One shows portraits of early New York colonists; the other offers examples of the famous Hudson River school of painting of the 19th Century. ,"Plenty of Power: The New York State Power Authority shows its power network on a 144-square-foot map. The utility also exhibts a 26-foor replica of the St. Lawrence hydroelectric plant, with spinning turbines seen through transparent panels.","193, 302","Highway through New York: On the mezzanine, strollers walk along a miniature highway lined with glimpses of the state's life - a conservation area, a rose garden, exhibits from regional museums and the state's smaller industries. Members of the state legislature are on hand, and New Yorkers who feel there ought to be a law about something can state their gripes in writing, to be delivered to Albany. A machine answers questions about New York's legislature process.","Pop Art: The paintings decorating the Theaterama are of such unlikely subjects as a shattered Statue of Liberty, a comic-strip redhead and the FBI'S 13 most-wanted men.","State Movie: Inside the theater, moving pictures are projected onto a 360-degree screen, transporting the viewer to Niagara Falls, Jones Beach and similar state scenes.",,,,,,,
93,New Mexico,40.749507,-73.848975,Federal and State,$0.00,,,10am - 10pm,"Underground Riches: Booming oil and natural-gas industries, urnaium mining and space research are among the activities displayed in two buildings by means of photographs, models and products.",,,"38, 39, 176, 188, 302",The state's indian and Mexican background is stressed in displays ranging from handicrafts to enchiladas.,,,,,,,,,
